,name,lat,lng,vicinity,city
269,Superior Chemical Industry (Thailand) Company Limited,13.7680492,100.6089008,Bangkok,QJ95+6H Bangkok
270,"Siam Chemical Industry Co., Ltd.",13.7409059,100.5615844,"159/34 Serm-Mit Tower 20th Floor, Road (Asoke), North Klongtoey, Wattana,, 21 Sukhumvit Rd",PHR6+9J Bangkok
271,President Chemical Company Limited,13.729074,100.5260154,"54/15-17 Thanon Surawong, Si Phraya, Bang Rak",PGHG+JC Bangkok
272,"บริษัท วี.ซี. เคมิคอลส์ จำกัด V.C. Chemicals Co., Ltd",13.7075456,100.5318968,"178 Soi Chan 16, Thung Wat Don, Sathon",PG5J+2Q Bangkok
273,"NP CHEMICAL SUPPLY CO.,LTD.",13.7732422,100.3868648,เลขที่ 42/1 ซอยมณฑลทอง หมู่ 19 ถนนพุทธมณฑล 2 แขวงศาลาธรรมสพน์ Thawi Watthana,Q9FP+7P Bangkok
274,บจก. ดาว เคมิคอล ประเทศไทย,13.71804,100.590477,"75 อาคารไวท์กรุ๊ป 2, ถนนสุขุมวิท 42, แขวงพระโขนง เขตคลองเตย กทม, 10110",PH9R+65 Bangkok
275,SCG Chemicals,13.8058794,100.5375315,"1 Siam Cement Alley, Bang Sue",RG4Q+92 Bangkok
276,Eastman Chemical Company,13.7586884,100.5678816,"33/4 The 9th Tower Grand Rama 9, Tower A, 24th Fl., TNA 05, Rama IX Rd, Huai Khwang",QH59+F5 Bangkok
277,"S.M.Chemical Supplies Co.,Ltd.",13.7887567,100.6288392,3/1-2 SMC Building Ladprao 101 Raod Klongjan Bang Kapi District,QJQH+GG Bangkok
278,Civic Chemical LP.,13.687625,100.6872808,28/1 ซ.เฉลิมพระเกียรติฯ 30 แยก 15 แขวงดอกไม้,MMQP+2W Bangkok
279,"Thepthai Chemical Corp.,Ltd.",13.6698401,100.6219947,"หมู่ที่ 12 21/573 Bang Na-Trat Frontage Rd, Bang Na",MJ9C+WQ Bangkok
280,บริษัท เอส.เค.เอ็ม.เคมีคอล จำกัด,13.7490091,100.5112416,"45/7 ซอยเฉลิมเขตร์ 2 ถนนเฉลิมเขตร์ 3 Wat Thepsirin, Pom Prap Sattru Phai",none
281,T.J.K. Chemical Company Limited,13.662544,100.6374942,103 ซอย 7 Bang Na,MJ7P+2X Bangkok
282,"Petch Thai Chemical Co.,Ltd.",13.7027599,100.5403965,"15 Naradhiwat Rajanagarindra Rd, Chong Nonsi, Yan Nawa",PG3R+45 Bangkok
283,Nitro Chemical Industry LTD. (Branch 1),13.747523,100.5194937,"24 Rama I Rd, Rong Muang, Pathum Wan District",PGX9+2Q Bangkok
284,"Hanwha Chemical (Thailand) Co.,Ltd.",13.5521553,100.7900146,"377 หมู่ 17 Bang Na-Trat Rd, Bang Sao Thong, Bang Sao Thong District","HQ2R+V2 Bang Sao Thong, Bang Sao Thong District, Samut Prakan"
285,"Chemical House & Lab Instrument Co.,LTD",13.7615811,100.6028474,"98 ซอย รามคำแหง 21 Phlabphla, Wang Thonglang",QJ63+J4 Bangkok
286,Chemical Asia Company Limited,13.6606763,100.6272467,"12/15 Sukhumvit Rd, Bang Na , 10260, Bang Na",MJ6G+7V Bangkok
287,Indorama Chemicals (Thailand) Ltd.,13.7428327,100.5615333,"75/64-65 Ocean Tower 2, 28th Floor, Sukhumvit 19, Asoke Rd., Klongtoey Nuer Wattana, Bangkok 10110",PHV6+4J Bangkok
288,MC Industrial Chemical Company Limited,13.7408246,100.505514,"180-184 ถนน ราชวงศ์ Chakkrawat, Samphanthawong",PGR4+86 Bangkok
289,Superior Chemical Industry (Thailand) Company Limited,13.7680492,100.6089008,Bangkok,QJ95+6H Bangkok
290,"Siam Chemical Industry Co., Ltd.",13.7409059,100.5615844,"159/34 Serm-Mit Tower 20th Floor, Road (Asoke), North Klongtoey, Wattana,, 21 Sukhumvit Rd",PHR6+9J Bangkok
291,President Chemical Company Limited,13.729074,100.5260154,"54/15-17 Thanon Surawong, Si Phraya, Bang Rak",PGHG+JC Bangkok
292,"บริษัท วี.ซี. เคมิคอลส์ จำกัด V.C. Chemicals Co., Ltd",13.7075456,100.5318968,"178 Soi Chan 16, Thung Wat Don, Sathon",PG5J+2Q Bangkok
